Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Classic Longboard Coral,classic-longboard-coral,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",RetroWave,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,coral,adult",TRUE,Active,product_11,,Color,Coral,,,,,,,,506.25,,,TRUE,,shopify,7,DENY,8500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Classic Longboard Coral,,FALSE,Classic Longboard Coral,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Performance Shortboard - Kids Sunset,performance-shortboard-kids-sunset,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,AquaCraft,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,sunset,kids",TRUE,Active,product_12,,Color,Sunset,,,,,,,,541.68,650.02,,TRUE,,shopify,15,DENY,3200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Performance Shortboard - Kids Sunset,,FALSE,Performance Shortboard - Kids Sunset,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Mini Malibu Ice Blue,mini-malibu-ice-blue,Versatile mid-length board combining longboard stability with shortboard maneuverability.,CoastalRide,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,ice blue,adult",TRUE,Active,product_13,,Color,Ice Blue,,,,,,,,380.53,456.64,,TRUE,,shopify,5,DENY,5500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Mini Malibu Ice Blue,,FALSE,Mini Malibu Ice Blue,Versatile mid-length board combining longboard stability with shortboard maneuverability.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Fish Surfboard Slate,fish-surfboard-slate,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",OceanPulse,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,slate,adult",TRUE,Active,product_14,,Color,Slate,,,,,,,,450.90,,,TRUE,,shopify,19,DENY,3800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Fish Surfboard Slate,,FALSE,Fish Surfboard Slate,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Soft-Top Foamie Forest Green,soft-top-foamie-forest-green,Soft foam construction for safe learning. Ideal for beginners and surf schools.,SurfX,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,forest green,adult",TRUE,Active,product_15,,Color,Forest Green,,,,,,,,268.26,,,TRUE,,shopify,18,DENY,4200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Soft-Top Foamie Forest Green,,FALSE,Soft-Top Foamie Forest Green,Soft foam construction for safe learning. Ideal for beginners and surf schools.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Gun Surfboard - Kids Black,gun-surfboard-kids-black,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,expert,unisex,black,kids",TRUE,Active,product_16,,Color,Black,,,,,,,,779.97,,,TRUE,,shopify,7,DENY,4500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Gun Surfboard - Kids Black,,FALSE,Gun Surfboard - Kids Black,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Hybrid Surfboard White,hybrid-surfboard-white,Blends shortboard and fish design for versatile performance across all conditions.,BoardMaster,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,white,adult",TRUE,Active,product_17,,Color,White,,,,,,,,460.26,,,TRUE,,shopify,6,DENY,3600,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Hybrid Surfboard White,,FALSE,Hybrid Surfboard White,Blends shortboard and fish design for versatile performance across all conditions.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Retro Twin Fin Blue,retro-twin-fin-blue,"Classic twin-fin design for loose, skatey surfing with modern construction.",RetroWave,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,blue,adult",TRUE,Active,product_18,,Color,Blue,,,,,,,,368.66,,,TRUE,,shopify,16,DENY,3400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Retro Twin Fin Blue,,FALSE,Retro Twin Fin Blue,"Classic twin-fin design for loose, skatey surfing with modern construction.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Step-Up Board Red,step-up-board-red,Extra volume shortboard for bigger days when your regular board feels too small.,AquaCraft,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,red,adult",TRUE,Active,product_19,,Color,Red,,,,,,,,551.00,661.20,,TRUE,,shopify,19,DENY,3900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Step-Up Board Red,,FALSE,Step-Up Board Red,Extra volume shortboard for bigger days when your regular board feels too small.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Grom Board - Kids Green,grom-board-kids-green,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,CoastalRide,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,green,kids",TRUE,Active,product_20,,Color,Green,,,,,,,,293.04,,,TRUE,,shopify,22,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Grom Board - Kids Green,,FALSE,Grom Board - Kids Green,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Classic Longboard Yellow,classic-longboard-yellow,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",OceanPulse,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,yellow,adult",TRUE,Active,product_21,,Color,Yellow,,,,,,,,505.81,606.97,,TRUE,,shopify,24,DENY,8500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Classic Longboard Yellow,,FALSE,Classic Longboard Yellow,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Performance Shortboard Orange,performance-shortboard-orange,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,SurfX,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,orange,adult",TRUE,Active,product_22,,Color,Orange,,,,,,,,539.94,,,TRUE,,shopify,11,DENY,3200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Performance Shortboard Orange,,FALSE,Performance Shortboard Orange,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Mini Malibu Teal,mini-malibu-teal,Versatile mid-length board combining longboard stability with shortboard maneuverability.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,teal,adult",TRUE,Active,product_23,,Color,Teal,,,,,,,,482.55,,,TRUE,,shopify,20,DENY,5500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Mini Malibu Teal,,FALSE,Mini Malibu Teal,Versatile mid-length board combining longboard stability with shortboard maneuverability.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Fish Surfboard - Kids Navy,fish-surfboard-kids-navy,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",BoardMaster,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,navy,kids",TRUE,Active,product_24,,Color,Navy,,,,,,,,426.49,,,TRUE,,shopify,18,DENY,3800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Fish Surfboard - Kids Navy,,FALSE,Fish Surfboard - Kids Navy,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Soft-Top Foamie Charcoal,soft-top-foamie-charcoal,Soft foam construction for safe learning. Ideal for beginners and surf schools.,RetroWave,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,charcoal,adult",TRUE,Active,product_25,,Color,Charcoal,,,,,,,,197.54,237.05,,TRUE,,shopify,12,DENY,4200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Soft-Top Foamie Charcoal,,FALSE,Soft-Top Foamie Charcoal,Soft foam construction for safe learning. Ideal for beginners and surf schools.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Gun Surfboard Coral,gun-surfboard-coral,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",AquaCraft,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,expert,unisex,coral,adult",TRUE,Active,product_26,,Color,Coral,,,,,,,,742.84,891.41,,TRUE,,shopify,23,DENY,4500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Gun Surfboard Coral,,FALSE,Gun Surfboard Coral,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Hybrid Surfboard Sunset,hybrid-surfboard-sunset,Blends shortboard and fish design for versatile performance across all conditions.,CoastalRide,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,sunset,adult",TRUE,Active,product_27,,Color,Sunset,,,,,,,,415.85,,,TRUE,,shopify,23,DENY,3600,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Hybrid Surfboard Sunset,,FALSE,Hybrid Surfboard Sunset,Blends shortboard and fish design for versatile performance across all conditions.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Retro Twin Fin - Kids Ice Blue,retro-twin-fin-kids-ice-blue,"Classic twin-fin design for loose, skatey surfing with modern construction.",OceanPulse,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,ice blue,kids",TRUE,Active,product_28,,Color,Ice Blue,,,,,,,,372.89,,,TRUE,,shopify,10,DENY,3400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Retro Twin Fin - Kids Ice Blue,,FALSE,Retro Twin Fin - Kids Ice Blue,"Classic twin-fin design for loose, skatey surfing with modern construction.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Step-Up Board Slate,step-up-board-slate,Extra volume shortboard for bigger days when your regular board feels too small.,SurfX,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,slate,adult",TRUE,Active,product_29,,Color,Slate,,,,,,,,637.00,764.40,,TRUE,,shopify,22,DENY,3900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Step-Up Board Slate,,FALSE,Step-Up Board Slate,Extra volume shortboard for bigger days when your regular board feels too small.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Grom Board Forest Green,grom-board-forest-green,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,forest green,adult",TRUE,Active,product_30,,Color,Forest Green,,,,,,,,274.97,,,TRUE,,shopify,21,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Grom Board Forest Green,,FALSE,Grom Board Forest Green,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Classic Longboard Black,classic-longboard-black,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",BoardMaster,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,black,adult",TRUE,Active,product_31,,Color,Black,,,,,,,,438.34,526.01,,TRUE,,shopify,15,DENY,8500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Classic Longboard Black,,FALSE,Classic Longboard Black,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Performance Shortboard - Kids White,performance-shortboard-kids-white,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,RetroWave,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,white,kids",TRUE,Active,product_32,,Color,White,,,,,,,,727.78,873.34,,TRUE,,shopify,14,DENY,3200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Performance Shortboard - Kids White,,FALSE,Performance Shortboard - Kids White,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Mini Malibu Blue,mini-malibu-blue,Versatile mid-length board combining longboard stability with shortboard maneuverability.,AquaCraft,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,blue,adult",TRUE,Active,product_33,,Color,Blue,,,,,,,,519.13,,,TRUE,,shopify,10,DENY,5500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Mini Malibu Blue,,FALSE,Mini Malibu Blue,Versatile mid-length board combining longboard stability with shortboard maneuverability.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Fish Surfboard Red,fish-surfboard-red,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",CoastalRide,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,red,adult",TRUE,Active,product_34,,Color,Red,,,,,,,,366.73,440.08,,TRUE,,shopify,12,DENY,3800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Fish Surfboard Red,,FALSE,Fish Surfboard Red,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Soft-Top Foamie Green,soft-top-foamie-green,Soft foam construction for safe learning. Ideal for beginners and surf schools.,OceanPulse,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,green,adult",TRUE,Active,product_35,,Color,Green,,,,,,,,218.65,,,TRUE,,shopify,23,DENY,4200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Soft-Top Foamie Green,,FALSE,Soft-Top Foamie Green,Soft foam construction for safe learning. Ideal for beginners and surf schools.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Gun Surfboard - Kids Yellow,gun-surfboard-kids-yellow,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",SurfX,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,expert,unisex,yellow,kids",TRUE,Active,product_36,,Color,Yellow,,,,,,,,742.77,891.32,,TRUE,,shopify,15,DENY,4500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Gun Surfboard - Kids Yellow,,FALSE,Gun Surfboard - Kids Yellow,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Hybrid Surfboard Orange,hybrid-surfboard-orange,Blends shortboard and fish design for versatile performance across all conditions.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,orange,adult",TRUE,Active,product_37,,Color,Orange,,,,,,,,456.60,547.92,,TRUE,,shopify,16,DENY,3600,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Hybrid Surfboard Orange,,FALSE,Hybrid Surfboard Orange,Blends shortboard and fish design for versatile performance across all conditions.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Retro Twin Fin Teal,retro-twin-fin-teal,"Classic twin-fin design for loose, skatey surfing with modern construction.",BoardMaster,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,teal,adult",TRUE,Active,product_38,,Color,Teal,,,,,,,,486.59,583.91,,TRUE,,shopify,10,DENY,3400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Retro Twin Fin Teal,,FALSE,Retro Twin Fin Teal,"Classic twin-fin design for loose, skatey surfing with modern construction.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
